premise,y,answer,std,n_premises,model_prediction
ca3,po,5.473684210526316,1.447025693289947,3,0.0577705865363241
ca3,sa,3.5526315789473686,1.8409364306456972,3,0.023154735516379785
ca_fa_lo,au,4.111111111111111,1.5365907428821477,3,1.0
ca_fa_lo,ca,4.333333333333333,1.6583123951777,3,1.0
ca_fa_lo,fa,5.888888888888889,0.7817359599705718,3,1.0
ca_fa_lo,li,3.888888888888889,1.833333333333333,3,0.3864404284294601
ca_fa_lo,lo,4.555555555555555,2.185812841434,3,1.0
ca_fa_lo,po,4.444444444444445,1.2360330811826103,3,1.0
ca_fa_lo,sa,2.888888888888889,2.1473497877875207,3,0.3864404284294601
fa3,au,4.777777777777778,1.6486202467362572,3,0.0577705865363241
fa3,ca,4.37037037037037,1.7130303367053763,3,0.0577705865363241
fa3,fa,5.851851851851852,1.4859263804028815,3,1.0
fa3,li,4.62962962962963,1.9443833934249648,3,0.023154735516379785
fa3,lo,4.407407407407407,1.5752718754175359,3,0.0577705865363241
fa3,po,4.666666666666667,1.5932550136313832,3,0.0577705865363241
fa3,sa,3.5555555555555554,1.6486202467362574,3,0.023154735516379785
fa_ca_lo,au,4.388888888888889,1.6499158227686106,3,1.0
fa_ca_lo,ca,5.611111111111111,1.5392469086379983,3,1.0
fa_ca_lo,fa,4.666666666666667,1.7149858514250884,3,1.0
fa_ca_lo,li,4.111111111111111,1.8435543958499072,3,0.3864404284294601
fa_ca_lo,lo,4.333333333333333,1.5718104959867516,3,1.0
fa_ca_lo,po,5.277777777777778,1.3636264606493254,3,1.0
fa_ca_lo,sa,4.277777777777778,1.9942728456774754,3,0.3864404284294601
li3,au,4.64957264957265,1.787486384400709,3,0.024013773166334868
li3,ca,4.384615384615385,1.804430150978772,3,0.024013773166334868
li3,fa,4.923076923076923,1.7278342341160955,3,0.024013773166334868
li3,li,5.581196581196581,1.582443092833729,3,0.9999999999999997
li3,lo,4.136752136752137,1.8331524707829505,3,0.024013773166334868
li3,po,4.666666666666667,1.866215052101353,3,0.024013773166334868
li3,sa,2.376068376068376,1.6385785246643827,3,0.022857826279357504
lo3,au,4.791666666666667,1.955575455542138,3,0.0577705865363241
lo3,ca,4.583333333333333,1.9763089590064795,3,0.0577705865363241
lo3,fa,5.375,1.3772215255487343,3,0.0577705865363241
lo3,li,3.7916666666666665,2.3215281074376826,3,0.023154735516379785
lo3,lo,6.25,0.8968544062928812,3,1.0
lo3,po,4.833333333333333,1.6854019432007687,3,0.0577705865363241
lo3,sa,2.7916666666666665,1.8645238736369985,3,0.023154735516379785
po3,au,4.666666666666667,1.593255013631383,3,0.0577705865363241
po3,ca,3.8518518518518516,1.7030222841421951,3,0.0577705865363241
po3,fa,5.111111111111111,1.7831116564834573,3,0.0577705865363241
po3,li,4.111111111111111,1.9081471748860572,3,0.023154735516379785
po3,lo,3.1481481481481484,1.747607236804384,3,0.0577705865363241
po3,po,5.0,1.860521018838127,3,1.0
po3,sa,3.2222222222222223,1.6946370914726467,3,0.023154735516379785
po_au_fa,au,6.1,0.9944289260117531,3,1.0
po_au_fa,ca,5.4,1.4298407059684812,3,1.0
po_au_fa,fa,6.4,0.8432740427115678,3,1.0
po_au_fa,li,3.2,1.9888578520235065,3,0.3864404284294601
po_au_fa,lo,4.9,1.9692073983655904,3,1.0
po_au_fa,po,6.2,1.2292725943057183,3,1.0
po_au_fa,sa,3.7,1.3374935098492586,3,0.3864404284294601
po_au_lo,au,5.866666666666666,1.3578211078487255,3,1.0
po_au_lo,ca,3.933333333333333,1.7991057804352146,3,1.0
po_au_lo,fa,4.966666666666667,1.650148025404729,3,1.0
po_au_lo,li,4.133333333333334,1.9250317208910563,3,0.3864404284294601
po_au_lo,lo,5.033333333333333,1.4015590662158888,3,1.0
po_au_lo,po,4.6,2.0443361623831797,3,1.0
po_au_lo,sa,2.3666666666666667,1.473521078171633,3,0.3864404284294601
po_fa_au,au,4.769230769230769,1.7867030229749128,3,1.0
po_fa_au,ca,4.3076923076923075,1.931519927613803,3,1.0
po_fa_au,fa,5.3076923076923075,1.702185623672077,3,1.0
po_fa_au,li,4.384615384615385,1.5021352323976216,3,0.3864404284294601
po_fa_au,lo,2.769230769230769,1.832750490103429,3,1.0
po_fa_au,po,5.0,1.8257418583505536,3,1.0
po_fa_au,sa,3.0,1.5275252316519468,3,0.3864404284294601
po_lo_au,au,5.416666666666667,0.7929614610987591,3,1.0
po_lo_au,ca,3.1666666666666665,1.1146408580454257,3,1.0
po_lo_au,fa,6.0,1.1281521496355325,3,1.0
po_lo_au,li,4.75,1.864744681524183,3,0.3864404284294601
po_lo_au,lo,6.416666666666667,0.6685579234215215,3,1.0
po_lo_au,po,6.25,1.0552897060221726,3,1.0
po_lo_au,sa,4.5,1.3142574813455419,3,0.3864404284294601
sa3,au,4.495726495726496,1.873701534874732,3,0.024013773166334868
sa3,ca,4.512820512820513,1.8874146914514127,3,0.024013773166334868
sa3,fa,4.273504273504273,1.5845369802538294,3,0.024013773166334868
sa3,li,3.948717948717949,1.9645397541468443,3,0.022857826279357504
sa3,lo,4.0256410256410255,1.8637260531153739,3,0.024013773166334868
sa3,po,4.632478632478633,1.8317049274787238,3,0.024013773166334868
sa3,sa,4.957264957264957,1.8818239611004435,3,0.9999999999999997
