explanations,type,optional,name,block_order,item_order,showif,label,choice1,choice2
,"rating_button 1,7,1",,pd3au2,pd3,2,condition == 2,"...takes her father's car out after curfew, against his wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3ca2,pd3,2,condition == 2,...is driving along an empty road and sees a man who is clearly injured; she does not stop to help him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3lo2,pd3,2,condition == 2,...shares a secret that her best friend entrusted to her; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,submit,,p2_submit_2,,,,Next Question,,
,note,,prompt_sa32,sa3,1,condition == 2,"James has done the following: 
- searches through the trash to find women's discarded underwear
- offers to have oral sex with anyone in the bar while drunk
- takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,sa3ca2,sa3,2,condition == 2,...spanks his child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3fa2,sa3,2,condition == 2,...bribes his landlord to be the first to get his apartment repainted?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3au2,sa3,2,condition == 2,...tries to undermine all of his boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3lo2,sa3,2,condition == 2,...celebrates with the opposing team's players who just won the game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3li2,sa3,2,condition == 2,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3po2,sa3,2,condition == 2,...goes to a birthday party for his friend but does not bring a gift?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3sa2,sa3,2,condition == 2,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,submit,,p3_submit_2,,,,Next Question,,
,note,,prompt_li32,li3,1,condition == 2,"Jennifer has done the following: 
- tells her fiance that he has to switch to her political party
- is the leader of a club and bans members from wearing bright colors during club meetings
- is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Jennifer:",,
,"rating_button 1,7,1",,li3sa2,li3,2,condition == 2,...marries her first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3lo2,li3,2,condition == 2,"...gets a job in a foreign nation where her home country is viewed fairly negatively; in order to fit in among their coworkers, Jennifer makes critical comments about their home country, though Jennifer does not believe them?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3au2,li3,2,condition == 2,...tries to undermine all of her boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3po2,li3,2,condition == 2,...eats a T-bone steak with her hands in a fancy restaurant?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3li2,li3,2,condition == 2,...tells her romantic partner that he must convert to her religion?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3ca2,li3,2,condition == 2,...laughs when she realizes her friend's dad is a janitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3fa2,li3,2,condition == 2,...edges out another person in a long line?,Very Unlikely,Very Likely
,submit,,p4_submit_2,,,,Next Question,,
,note,,attention_check_instructions_2,,,condition == 2,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_2,,,condition == 2,...walks away while his conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_2,,,condition == 2,"...takes his father's car out after curfew, against his father's wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_2,,,condition == 2,...bribes his landlord to be the first to get his apartment repainted?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_2,,,condition == 2,...shares a secret that his best friend entrusted to him; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_2,,,condition == 2,...is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_2,,,condition == 2,...cheats on his spouse with an ex-lover; his spouse does not find out about the infidelity?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_2,,,condition == 2,...has a long and loud conversation with a group of friends during a religious service?,Very Unlikely,Very Likely
,submit,,attention_submit_2,,,condition == 2,Next Question,,
,note,,prompt_lo33,lo3,1,condition == 3,"Steven has done the following: 
- celebrates with the opposing team's players who just won the game
- sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation
- jokes about the stupidity of people from his home country

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,lo3li3,lo3,2,condition == 3,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3au3,lo3,2,condition == 3,...disobeys his boss; nothing bad happens as a result of his disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3lo3,lo3,2,condition == 3,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3fa3,lo3,2,condition == 3,...skips to the front of the line because his friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3ca3,lo3,2,condition == 3,...laughs when he realizes his friend's dad is a janitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3po3,lo3,2,condition == 3,...plays music through his headphones so loudly that other passengers can hear it while on a bus?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,lo3sa3,lo3,2,condition == 3,...looks at pornography in which an 18-year-old model has been digitally altered to look like she is 13?,Very Unlikely,Very Likely
,submit,,p1_submit_3,,,,Next Question,,
,note,,prompt_pd33,pd3,1,condition == 3,"Maria has done the following: 
- eats a T-bone steak with her hands in a fancy restaurant
- talks loudly and interrupts the mayor's speech to the public
- bribes her landlord to be the first to get her apartment repainted

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,pd3li3,pd3,2,condition == 3,...is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3sa3,pd3,2,condition == 3,...offers to have oral sex with anyone in the bar while drunk?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3lo3,pd3,2,condition == 3,"...gets a job in a foreign nation where her home country is viewed fairly negatively; in order to fit in among their coworkers, Maria makes critical comments about their home country, though Maria does not believe them?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3po3,pd3,2,condition == 3,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3ca3,pd3,2,condition == 3,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3fa3,pd3,2,condition == 3,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3au3,pd3,2,condition == 3,...has a long and loud conversation with a group of friends during a religious service?,Very Unlikely,Very Likely
,submit,,p2_submit_3,,,,Next Question,,
,note,,prompt_sa33,sa3,1,condition == 3,"James has done the following: 
- looks at pornography in which an 18-year-old model has been digitally altered to look like she is 13
- takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage
- offers to have oral sex with anyone in the bar while drunk

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,sa3li3,sa3,2,condition == 3,...imposes a curfew on all members of his immediate family?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3ca3,sa3,2,condition == 3,...makes fun of his brother for getting dumped by his girlfriend?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3po3,sa3,2,condition == 3,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3lo3,sa3,2,condition == 3,"...sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3fa3,sa3,2,condition == 3,"...hires his nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3sa3,sa3,2,condition == 3,...marries his first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3au3,sa3,2,condition == 3,...tries to undermine all of his boss's ideas in front of others?,Very Unlikely,Very Likely
,submit,,p3_submit_3,,,,Next Question,,
,note,,prompt_li33,li3,1,condition == 3,"Jennifer has done the following: 
- is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings
- imposes a curfew on all members of her immediate family
- pressures her daughter to become a famous evening news anchor

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Jennifer:",,
,"rating_button 1,7,1",,li3au3,li3,2,condition == 3,...talks loudly and interrupts the mayor's speech to the public?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3ca3,li3,2,condition == 3,...spanks her child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3fa3,li3,2,condition == 3,...skips to the front of the line because her friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3sa3,li3,2,condition == 3,...offers to have oral sex with anyone in the bar while drunk?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3li3,li3,2,condition == 3,...forces her daughter to enroll as a pre-med student in college?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3po3,li3,2,condition == 3,...eats a T-bone steak with her hands in a fancy restaurant?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3lo3,li3,2,condition == 3,...shares a secret that her best friend entrusted to her; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,submit,,p4_submit_3,,,,Next Question,,
,note,,attention_check_instructions_3,,,condition == 3,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_3,,,condition == 3,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_3,,,condition == 3,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_3,,,condition == 3,"...requires all his employees to split their bonuses evenly, even though some earn larger bonuses than others?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_3,,,condition == 3,...pretends to be seriously fouled by an opposing player during a local game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_3,,,condition == 3,...goes to a birthday party for his friend but does not bring a gift?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_3,,,condition == 3,"...sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_3,,,condition == 3,...tells his fiance that she has to switch to his political party?,Very Unlikely,Very Likely
,submit,,attention_submit_3,,,condition == 3,Next Question,,
,note,,prompt_fa34,fa3,1,condition == 4,"Steven has done the following: 
- skips to the front of the line because his friend is an employee
- takes a shortcut on the course during the marathon in order to win
- edges out another person in a long line

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,fa3lo4,fa3,2,condition == 4,"...sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3sa4,fa3,2,condition == 4,...marries his first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3au4,fa3,2,condition == 4,"...takes his father's car out after curfew, against his father's wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3ca4,fa3,2,condition == 4,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3fa4,fa3,2,condition == 4,...pretends to be seriously fouled by an opposing player during a local game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3po4,fa3,2,condition == 4,...ignores his personal hygiene and mental health in order to devote more time to his career?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3li4,fa3,2,condition == 4,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,submit,,p1_submit_4,,,,Next Question,,
,note,,prompt_pd34,pd3,1,condition == 4,"Maria has done the following: 
- talks loudly and interrupts the mayor's speech to the public
- cheats on her spouse with an ex-lover; the spouse does not find out about the infidelity
- tells a woman that her painting looks like it was done by children

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,pd3sa4,pd3,2,condition == 4,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3fa4,pd3,2,condition == 4,"...hires her nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3li4,pd3,2,condition == 4,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3lo4,pd3,2,condition == 4,"...gets a job in a foreign nation where her home country is viewed fairly negatively; in order to fit in among their coworkers, Maria makes critical comments about their home country, though Maria does not believe them?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3ca4,pd3,2,condition == 4,...shoots geese repeatedly with a pellet gun out in the woods?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3po4,pd3,2,condition == 4,...ignores her personal hygiene and mental health in order to devote more time to her career?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3au4,pd3,2,condition == 4,"...sends out an email to other employees at her company, calling their company president an ""idiot""?",Very Unlikely,Very Likely
,submit,,p2_submit_4,,,,Next Question,,
,note,,prompt_sa34,sa3,1,condition == 4,"James has done the following: 
- marries his first cousin in an elaborate wedding
- searches through the trash to find women's discarded underwear
- offers to have oral sex with anyone in the bar while drunk

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,sa3li4,sa3,2,condition == 4,...is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3au4,sa3,2,condition == 4,"...sends out an email to other employees at his company, calling their company president an ""idiot""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3sa4,sa3,2,condition == 4,...looks at pornography in which an 18-year-old model has been digitally altered to look like she is 13?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3lo4,sa3,2,condition == 4,"...sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3fa4,sa3,2,condition == 4,...edges out another person in a long line?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3ca4,sa3,2,condition == 4,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3po4,sa3,2,condition == 4,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
,submit,,p3_submit_4,,,,Next Question,,
,note,,prompt_li34,li3,1,condition == 4,"Jennifer has done the following: 
- forces her daughter to enroll as a pre-med student in college
- is the leader of a club and bans members from wearing bright colors during club meetings
- is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Jennifer:",,
,"rating_button 1,7,1",,li3li4,li3,2,condition == 4,...tells her romantic partner that he must convert to her religion?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3sa4,li3,2,condition == 4,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3lo4,li3,2,condition == 4,...shares a secret that her best friend entrusted to her; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3ca4,li3,2,condition == 4,...makes fun of her brother for getting dumped by his girlfriend?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3po4,li3,2,condition == 4,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3au4,li3,2,condition == 4,...talks loudly and interrupts the mayor's speech to the public?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3fa4,li3,2,condition == 4,"...requires all her employees to split their bonuses evenly, even though some earn larger bonuses than others?",Very Unlikely,Very Likely
,submit,,p4_submit_4,,,,Next Question,,
,note,,attention_check_instructions_4,,,condition == 4,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_4,,,condition == 4,...talks loudly in class while the instructor is teaching?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_4,,,condition == 4,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_4,,,condition == 4,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_4,,,condition == 4,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_4,,,condition == 4,...offers to have oral sex with anyone in the bar while drunk?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_4,,,condition == 4,"...sends out an email to other employees at his company, calling their company president an ""idiot""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_4,,,condition == 4,...edges out another person in a long line?,Very Unlikely,Very Likely
,submit,,attention_submit_4,,,condition == 4,Next Question,,
